,States,year,month,Segment,Labor Force,Unemployed,Unemployment Rate (%),Trump (%),Biden (%),New Case,New Case Per 10$^6$,New Death,New Death Per 10$^6$
24,Wisconsin,2020,3,3-2,3051457.5,257440.5,8.475,44.49,49.73,1.8667,0.03267,0.0,0.0
25,Wisconsin,2020,4,4-1,3029574.0,411688.0,13.59,42.76,45.22,86.5,1.4875,2.6875,0.04563
26,Wisconsin,2020,4,4-2,3059108.5,389297.0,12.735,42.62,48.99,153.9333,2.648,11.4,0.19533
27,Wisconsin,2020,5,5-1,3088643.0,366906.0,11.88,43.83,48.57,208.8667,3.59267,9.5333,0.16467
28,Wisconsin,2020,5,5-2,3097858.0,321030.5,10.370000000000001,43.44,48.44,322.0667,5.54,8.4,0.144
29,Wisconsin,2020,6,6-1,3107073.0,275155.0,8.86,43.27,50.36,419.875,7.2225,10.4375,0.18062
30,Wisconsin,2020,6,6-2,3088698.5,247154.0,8.0,43.64,48.68,301.9333,5.19267,6.5333,0.11333
31,Wisconsin,2020,7,7-1,3070324.0,219153.0,7.14,43.97,49.95,381.8,6.56667,4.4667,0.07533
32,Wisconsin,2020,7,7-2,3069719.0,203665.5,6.635,42.68,49.17,671.2,11.54533,3.3333,0.05533
33,Wisconsin,2020,8,8-1,3069114.0,188178.0,6.13,43.71,50.34,888.3125,15.28,7.0625,0.12125
34,Wisconsin,2020,8,8-2,3097555.5,167826.5,5.425,43.71,49.63,807.7333,13.89333,7.7333,0.132
35,Wisconsin,2020,9,9-1,3125997.0,147475.0,4.72,43.88,51.23,659.1875,11.33875,5.75,0.09938
36,Wisconsin,2020,9,9-2,3124307.5,150482.5,4.82,43.37,53.3,1046.7333,18.004,6.1333,0.10467
37,Wisconsin,2020,10,10-1,3122618.0,153490.0,4.92,44.97,49.95,2064.6667,35.51533,8.2667,0.14133
38,New York,,1,1-1,9527724.0,391139.0,4.11,,,,,,
39,New York,,1,1-2,9547170.5,383427.5,4.0200000000000005,,,3304.7778,31.41444,29.3333,0.27889
40,New York,,2,2-1,9566617.0,375716.0,3.93,,,,,,
41,New York,2020,2,2-2,9499125.5,388249.0,4.09,40.63,50.21,0.0,0.0,0.0,0.0
42,New York,,3,3-1,9431634.0,400782.0,4.25,,,0.0,0.0,0.0,0.0
43,New York,2020,3,3-2,9235660.0,882620.5,9.67,44.49,49.73,42.2,0.21733,0.6667,0.004
44,New York,,4,4-1,9039686.0,1364459.0,15.09,,,4701.25,24.0575,172.8125,0.88375
45,New York,2020,4,4-2,9051958.0,1324916.5,14.635,42.62,48.99,9240.0667,47.28267,907.9333,4.64533
46,New York,,5,5-1,9064230.0,1285374.0,14.18,,,5994.5333,30.674,543.2,2.778
47,New York,2020,5,5-2,9251241.0,1373391.0,14.83,43.44,48.44,2762.7333,14.136,275.4,1.41
48,New York,2020,6,6-1,9438252.0,1461408.0,15.48,43.27,50.36,1559.8125,7.9825,126.625,0.64688
49,New York,2020,6,6-2,9562879.5,1504569.0,15.73,43.64,48.68,878.2667,4.49467,61.9333,0.31667
50,New York,2020,7,7-1,9687507.0,1547730.0,15.98,43.97,49.95,634.0,3.24267,29.4667,0.15133
51,New York,,7,7-2,9602979.5,1370760.5,14.26,,,703.4667,3.60067,25.2,0.12933
52,New York,2020,8,8-1,9518452.0,1193791.0,12.54,43.71,50.34,688.0,3.52187,14.1875,0.07438
53,New York,2020,8,8-2,9312989.5,1024020.0,10.96,43.71,49.63,659.1333,3.37333,8.9333,0.04733
54,New York,2020,9,9-1,9107527.0,854249.0,9.38,43.88,51.23,615.9375,3.15312,9.25,0.04875
55,New York,2020,9,9-2,9089982.0,844137.0,9.285,43.37,53.3,730.5333,3.73733,5.4,0.02867
56,New York,2020,10,10-1,9072437.0,834025.0,9.19,44.97,49.95,862.3333,4.41267,19.0667,0.09867
57,Florida,2020,1,1-1,10423817.0,310225.0,2.98,44.63,48.93,,,,
58,Florida,,1,1-2,10452857.0,303884.0,2.91,,,12568.2222,31.77222,66.6667,0.17
59,Florida,2020,2,2-1,10481897.0,297543.0,2.84,42.76,48.49,,,,
60,Florida,2020,2,2-2,10401419.5,371959.5,3.58,40.63,50.21,0.0,0.0,0.0,0.0
61,Florida,2020,3,3-1,10320942.0,446376.0,4.32,45.88,45.63,0.0,0.0,0.0,0.0
62,Florida,2020,3,3-2,9881473.5,860280.0,8.905000000000001,44.49,49.73,6.6667,0.02933,0.2,0.00067
63,Florida,,4,4-1,9442005.0,1274184.0,13.49,,,415.0625,1.94812,5.125,0.02375
64,Florida,2020,4,4-2,9546947.0,1289126.5,13.5,42.62,48.99,1051.3333,4.93667,34.0667,0.16067
65,Florida,2020,5,5-1,9651889.0,1304069.0,13.51,43.83,48.57,745.2667,3.5,44.8,0.21
66,Florida,2020,5,5-2,9710518.5,1166017.5,12.015,43.44,48.44,696.5333,3.27,43.2667,0.20467
67,Florida,2020,6,6-1,9769148.0,1027966.0,10.52,43.27,50.36,751.5625,3.52812,33.375,0.15687
68,Florida,2020,6,6-2,9911516.5,1098871.5,11.08,43.64,48.68,1410.8667,6.62467,32.4667,0.15333
